Time, Currents, Velocities, Positions
2.491612195968627930e+00,9.563000200000000284e-01,7.853981633974482790e-01,5.907997535188602711e-01
2.507712125778198242e+00,9.294999840000000013e-01,7.696902001294992912e-01,6.234666723025140689e-01
2.523487806320190430e+00,7.560999990000000226e-01,8.011061266653972668e-01,6.251552783538185665e-01
2.538940906524658203e+00,8.689000009999999774e-01,8.325220532012951313e-01,6.377960776963711442e-01
2.554309368133544922e+00,8.755999800000000555e-01,8.011061266653972668e-01,6.394730868725541084e-01
2.570473194122314453e+00,1.028800010999999959e+00,7.853981633974482790e-01,6.535433108724899576e-01
2.585531949996948242e+00,1.004099964999999983e+00,7.853981633974482790e-01,6.551889041221370391e-01
2.600493431091308594e+00,1.038599967999999985e+00,7.696902001294992912e-01,6.620570269637182648e-01
2.615567684173583984e+00,1.018300055999999953e+00,7.539822368615503034e-01,6.636494830010633006e-01
2.631571531295776367e+00,9.639999870000000026e-01,7.696902001294992912e-01,6.742011844900352990e-01
2.647531270980834961e+00,8.474000099999999813e-01,7.696902001294992912e-01,6.758056059113199954e-01
2.662921905517578125e+00,9.513999819999999774e-01,7.853981633974482790e-01,6.857820032456033443e-01
2.678538322448730469e+00,8.679999710000000368e-01,7.696902001294992912e-01,6.874253876414558873e-01
2.694582939147949219e+00,8.482000229999999696e-01,7.853981633974482790e-01,6.992280198029676708e-01
2.709797143936157227e+00,9.060000179999999625e-01,8.011061266653972668e-01,7.009204300088164308e-01
2.725366830825805664e+00,8.522999879999999528e-01,7.853981633974482790e-01,7.118688804065769204e-01
2.740851640701293945e+00,9.046000239999999470e-01,7.539822368615503034e-01,7.134733018278616168e-01
2.756690263748168945e+00,1.008000015999999999e+00,7.539822368615503034e-01,7.240701637112290090e-01
2.772440433502197266e+00,9.517999889999999574e-01,7.539822368615503034e-01,7.256488140196578618e-01
2.814157724380493164e+00,1.080800055999999953e+00,7.225663103256524389e-01,7.351817070641670782e-01
2.833719730377197266e+00,9.478999970000000497e-01,7.068583470577034511e-01,7.367248303579136959e-01
2.849470138549804688e+00,8.858000040000000297e-01,7.539822368615503034e-01,7.470939880349524165e-01
2.864420652389526367e+00,8.421999810000000419e-01,7.539822368615503034e-01,7.487021523497247033e-01
2.880431890487670898e+00,8.478999729999999735e-01,7.696902001294992912e-01,7.594561551268282917e-01
2.895697593688964844e+00,8.870000239999999980e-01,7.853981633974482790e-01,7.611016871154187013e-01
2.938550949096679688e+00,9.380000229999999606e-01,7.696902001294992912e-01,7.711664417430842411e-01
2.957891702651977539e+00,1.036299944000000028e+00,7.696902001294992912e-01,7.728157778862188021e-01
2.978304862976074219e+00,9.602000120000000472e-01,7.539822368615503034e-01,7.834107991104504176e-01
2.988333225250244141e+00,1.019400000999999945e+00,7.696902001294992912e-01,7.850660873150265839e-01
3.004337310791015625e+00,9.139999749999999645e-01,7.539822368615503034e-01,7.962168390009185526e-01
3.020333051681518555e+00,1.060400009000000088e+00,7.539822368615503034e-01,7.978033432909814593e-01
3.036231517791748047e+00,7.928000090000000277e-01,7.696902001294992912e-01,8.074323247742341003e-01
3.052007436752319336e+00,8.550000190000000000e-01,7.539822368615503034e-01,8.090540491453771521e-01
3.067752838134765625e+00,9.916999939999999736e-01,7.696902001294992912e-01,8.197612352804383162e-01
3.112005710601806641e+00,8.662999869999999936e-01,7.853981633974482790e-01,8.214221682986945217e-01
3.134497404098510742e+00,8.500999809999999490e-01,7.853981633974482790e-01,8.314595568269138592e-01
3.146667957305908203e+00,8.734999900000000039e-01,7.696902001294992912e-01,8.330991367540627746e-01
3.168195724487304688e+00,9.804000259999999800e-01,7.696902001294992912e-01,8.436724982677441531e-01
3.193426370620727539e+00,9.585000280000000039e-01,7.539822368615503034e-01,8.452571003234552460e-01
3.207934141159057617e+00,9.075999860000000252e-01,7.382742735936013156e-01,8.555536702455958098e-01
3.223439931869506836e+00,9.266999959999999703e-01,7.539822368615503034e-01,8.571323205540246626e-01
3.238788366317749023e+00,9.016000029999999832e-01,7.382742735936013156e-01,8.665316959107564054e-01
3.254367828369140625e+00,9.226999879999999710e-01,7.225663103256524389e-01,8.680729169701510983e-01
3.269088745117187500e+00,7.997000220000000104e-01,7.539822368615503034e-01,8.784872966168012498e-01
3.284976005554199219e+00,9.520999789999999852e-01,7.696902001294992912e-01,8.801247289512121874e-01
3.299668788909912109e+00,9.735999699999999812e-01,7.696902001294992912e-01,8.900465169228759521e-01
3.320103645324707031e+00,9.550999999999999490e-01,7.696902001294992912e-01,8.916917419778641607e-01
3.343840599060058594e+00,9.390000099999999961e-01,7.539822368615503034e-01,9.023084229126459022e-01
3.364119529724121094e+00,8.179000020000000148e-01,7.539822368615503034e-01,9.039166484884748609e-01
3.376134872436523438e+00,8.967000250000000117e-01,7.539822368615503034e-01,9.136495723921049805e-01
3.392130851745605469e+00,9.861000180000000226e-01,7.382742735936013156e-01,9.152320268550780957e-01
3.408130407333374023e+00,8.539999719999999961e-01,7.382742735936013156e-01,9.247648586385307512e-01
3.424453258514404297e+00,8.377000089999999677e-01,7.382742735936013156e-01,9.263494606942417331e-01
3.440652370452880859e+00,9.003999830000000149e-01,7.382742735936013156e-01,9.367619996817562189e-01
3.455919027328491211e+00,9.257000090000000458e-01,7.696902001294992912e-01,9.384072247367444275e-01
3.470998525619506836e+00,9.858999849999999787e-01,7.696902001294992912e-01,9.491241667736319831e-01
3.487627029418945312e+00,7.980999949999999510e-01,7.853981633974482790e-01,9.507712937488126403e-01
3.502661943435668945e+00,8.319000009999999445e-01,7.696902001294992912e-01,9.606889706323300526e-01
3.518825769424438477e+00,1.064299941000000027e+00,7.696902001294992912e-01,9.623147448305627849e-01
3.534213542938232422e+00,9.063000079999999903e-01,7.539822368615503034e-01,9.727018196388234061e-01
3.550347328186035156e+00,9.772999879999999528e-01,7.539822368615503034e-01,9.742842128407398494e-01
3.565508127212524414e+00,8.622000220000000104e-01,7.225663103256524389e-01,9.837108927217016463e-01
3.581474304199218750e+00,8.313000200000000284e-01,7.382742735936013156e-01,9.852816890484965562e-01
3.596901416778564453e+00,8.428000209999999548e-01,7.225663103256524389e-01,9.961066849080674190e-01
3.612981557846069336e+00,7.630000110000000335e-01,7.539822368615503034e-01,9.976988340118102538e-01
3.628901958465576172e+00,9.812999959999999522e-01,7.539822368615503034e-01,1.007345732626284907e+00
3.644970893859863281e+00,8.736000059999999845e-01,7.853981633974482790e-01,1.008987214787785414e+00
3.660614728927612305e+00,9.197999839999999594e-01,7.696902001294992912e-01,1.019590089993650972e+00
3.675502300262451172e+00,8.470000030000000013e-01,7.696902001294992912e-01,1.021188191158835412e+00
3.691873073577880859e+00,8.784999850000000388e-01,7.382742735936013156e-01,1.031594716823851510e+00
