Times (s), Currents (A), Velocities (rads^-1), Positions(rads)
0.788,0,-5.67651e-08,-3.53988e-08
0.79,0,-7.38444e-09,-3.59016e-08
0.792,0,-8.4271e-09,-3.60707e-08
0.794,0,-5.34143e-08,-3.51915e-08
0.796,0,-1.84736e-09,-3.01541e-08
0.798,0,3.60836e-08,-3.49646e-08
0.8,0,4.66482e-08,-3.54284e-08
0.802,0,1.84964e-09,-3.01496e-08
0.804,0,-4.15518e-08,-3.49021e-08
0.806,0,-5.16997e-08,-3.53851e-08
0.808,0,-1.84853e-09,-3.01509e-08
0.81,0,2.62508e-10,-3.02896e-08
0.812,0,-4.25396e-08,-3.4932e-08
0.814,0,-5.28457e-08,-3.54183e-08
0.816,0,-5.28811e-09,-3.59012e-08
0.818,0,6.04967e-08,-3.50258e-08
0.82,0,5.94879e-08,-3.53921e-08
0.822,0,8.34542e-09,-3.59141e-08
0.824,0,-5.79203e-08,-3.50487e-08
0.826,0,-5.67651e-08,-3.53988e-08
0.828,0,-7.38444e-09,-3.59016e-08
0.83,0,-8.4271e-09,-3.60707e-08
0.832,0,-5.34143e-08,-3.51915e-08
0.834,0,-1.84736e-09,-3.01541e-08
0.836,0,3.60836e-08,-3.49646e-08
0.838,0,4.66482e-08,-3.54284e-08
0.84,0,1.84964e-09,-3.01496e-08
0.842,0,-4.15518e-08,-3.49021e-08
0.844,0,-5.16997e-08,-3.53851e-08
0.846,0,-1.84853e-09,-3.01509e-08
0.848,0,2.62508e-10,-3.02896e-08
0.85,0,-4.25396e-08,-3.4932e-08
0.852,0,-5.28457e-08,-3.54183e-08
0.854,0,-5.28811e-09,-3.59012e-08
0.856,0,6.04967e-08,-3.50258e-08
0.858,0,5.94879e-08,-3.53921e-08
0.86,0,8.34542e-09,-3.59141e-08
0.862,0,-5.79203e-08,-3.50487e-08
0.864,0,-5.67651e-08,-3.53988e-08
0.866,0,-7.38444e-09,-3.59016e-08
0.868,0,-8.4271e-09,-3.60707e-08
0.87,0,-5.34143e-08,-3.51915e-08
0.872,0,-1.84736e-09,-3.01541e-08
0.874,0,3.60836e-08,-3.49646e-08
0.876,0,4.66482e-08,-3.54284e-08
0.878,0,1.84964e-09,-3.01496e-08
0.88,0,-4.15518e-08,-3.49021e-08
0.882,0,-5.16997e-08,-3.53851e-08
0.884,0,-1.84853e-09,-3.01509e-08
0.886,0,2.62508e-10,-3.02896e-08
0.888,0,-4.25396e-08,-3.4932e-08
0.89,0,-5.28457e-08,-3.54183e-08
0.892,0,-5.28811e-09,-3.59012e-08
0.896,0,5.94879e-08,-3.53921e-08
0.898,0,8.34542e-09,-3.59141e-08
0.9,0,-5.79203e-08,-3.50487e-08
0.902,0,-5.67651e-08,-3.53988e-08
0.904,0,-7.38444e-09,-3.59016e-08
0.906,0,-8.4271e-09,-3.60707e-08
0.908,0,-5.34143e-08,-3.51915e-08
0.91,0,-1.84736e-09,-3.01541e-08
0.912,0,3.60836e-08,-3.49646e-08
0.914,0,4.66482e-08,-3.54284e-08
0.916,0,1.84964e-09,-3.01496e-08
0.918,0,-4.15518e-08,-3.49021e-08
0.92,0,-5.16997e-08,-3.53851e-08
0.922,0,-1.84853e-09,-3.01509e-08
0.924,0,2.62508e-10,-3.02896e-08
0.926,0,-4.25396e-08,-3.4932e-08
0.928,0,-5.28457e-08,-3.54183e-08
0.93,0,-5.28811e-09,-3.59012e-08
0.932,0,6.04967e-08,-3.50258e-08
0.934,0,5.94879e-08,-3.53921e-08
0.936,0,8.34542e-09,-3.59141e-08
0.938,0,-5.79203e-08,-3.50487e-08
0.94,0,-5.67651e-08,-3.53988e-08
0.942,0,-7.38444e-09,-3.59016e-08
0.944,0,-8.4271e-09,-3.60707e-08
0.946,0,-5.34143e-08,-3.51915e-08
0.948,0,-1.84736e-09,-3.01541e-08
0.95,0,3.60836e-08,-3.49646e-08
0.952,0,4.66482e-08,-3.54284e-08
0.954,0,1.84964e-09,-3.01496e-08
0.956,0,-4.15518e-08,-3.49021e-08
0.958,0,-5.16997e-08,-3.53851e-08
0.96,0,-1.84853e-09,-3.01509e-08
0.962,0,2.62508e-10,-3.02896e-08
0.964,0,-4.25396e-08,-3.4932e-08
0.966,0,-5.28457e-08,-3.54183e-08
0.968,0,-5.28811e-09,-3.59012e-08
0.97,0,6.04967e-08,-3.50258e-08
0.972,0,5.94879e-08,-3.53921e-08
0.974,0,8.34542e-09,-3.59141e-08
0.976,0,-5.79203e-08,-3.50487e-08
0.978,0,-5.67651e-08,-3.53988e-08
0.98,0,-7.38444e-09,-3.59016e-08
0.982,0,-8.4271e-09,-3.60707e-08
0.984,0,-5.34143e-08,-3.51915e-08
0.986,0,-1.84736e-09,-3.01541e-08
0.988,0,3.60836e-08,-3.49646e-08
0.99,0,4.66482e-08,-3.54284e-08
0.992,0,1.84964e-09,-3.01496e-08
0.994,0,-4.15518e-08,-3.49021e-08
0.996,0,-5.16997e-08,-3.53851e-08
0.998,0,-1.84853e-09,-3.01509e-08
1,0,2.62508e-10,-3.02896e-08
1.002,0,-4.25396e-08,-3.4932e-08
1.004,0,-5.28457e-08,-3.54183e-08
1.006,0,-5.28811e-09,-3.59012e-08
1.008,0,6.04967e-08,-3.50258e-08
1.01,0,5.94879e-08,-3.53921e-08
1.012,0,8.34542e-09,-3.59141e-08
1.014,0,-5.79203e-08,-3.50487e-08
1.016,0,-5.67651e-08,-3.53988e-08
1.018,0,-7.38444e-09,-3.59016e-08
1.02,0,-8.4271e-09,-3.60707e-08
1.022,0,-5.34143e-08,-3.51915e-08
1.024,0,-5.47036e-08,-3.53551e-08
1.026,0,-1.51749e-09,-3.01662e-08
1.028,0,4.26354e-08,-3.49928e-08
1.03,0,5.16499e-08,-3.5257e-08
1.032,0,1.51655e-09,-2.99798e-08
1.034,0,-4.5463e-08,-3.48479e-08
1.036,0,-5.44222e-08,-3.51727e-08
1.038,0,-1.51651e-09,-2.99544e-08
1.04,0,4.33457e-08,-3.48365e-08
1.042,0,5.23722e-08,-3.51627e-08
1.044,0,1.51659e-09,-2.99445e-08
1.046,0,-4.49496e-08,-3.48321e-08
1.048,0,-5.39113e-08,-3.51612e-08
1.05,0,-1.51652e-09,-2.99413e-08
1.052,0,4.37795e-08,-3.48268e-08
1.056,0,1.51658e-09,-2.99417e-08
1.058,0,-4.46438e-08,-3.48303e-08
1.06,0,-5.3616e-08,-3.51599e-08
1.062,0,-1.51654e-09,-2.99406e-08
1.064,0,4.40148e-08,-3.48265e-08
1.066,0,5.30147e-08,-3.51567e-08
1.068,0,1.51657e-09,-2.99414e-08
1.07,0,-4.44757e-08,-3.48299e-08
1.074,0,-1.51655e-09,-2.99407e-08
1.076,0,4.41401e-08,-3.48267e-08
1.078,0,5.31343e-08,-3.51568e-08
1.08,0,1.51656e-09,-2.99413e-08
1.082,0,-4.43853e-08,-3.48297e-08
1.084,0,-5.33685e-08,-3.51595e-08
1.086,0,-1.51655e-09,-2.99407e-08
1.088,0,4.42066e-08,-3.48268e-08
1.09,0,5.31978e-08,-3.51569e-08
1.092,0,1.51656e-09,-2.99412e-08
1.094,0,-4.43371e-08,-3.48297e-08
1.096,0,-5.33223e-08,-3.51594e-08
1.098,0,-1.51655e-09,-2.99408e-08
1.1,0,4.4242e-08,-3.48269e-08
1.102,0,5.32316e-08,-3.5157e-08
1.104,0,1.51656e-09,-2.99412e-08
1.106,0,-4.43114e-08,-3.48296e-08
1.108,0,-5.32978e-08,-3.51594e-08
1.11,0,-1.51655e-09,-2.99408e-08
1.112,0,4.42608e-08,-3.48269e-08
1.114,0,5.32495e-08,-3.5157e-08
1.116,0,1.51656e-09,-2.99412e-08
1.118,0,-4.42977e-08,-3.48296e-08
1.12,0,-5.32847e-08,-3.51594e-08
1.122,0,-1.51655e-09,-2.99408e-08
1.124,0,4.42708e-08,-3.48269e-08
1.126,0,5.3259e-08,-3.5157e-08
1.128,0,1.51656e-09,-2.99412e-08
1.13,0,-4.42904e-08,-3.48296e-08
1.132,0,-5.32778e-08,-3.51594e-08
1.134,0,-1.51656e-09,-2.99408e-08
1.136,0,4.42761e-08,-3.48269e-08
1.138,0,5.32641e-08,-3.5157e-08
1.14,0,1.51656e-09,-2.99412e-08
1.142,0,-4.42865e-08,-3.48296e-08
1.144,0,-5.32741e-08,-3.51594e-08
1.146,0,-1.51656e-09,-2.99408e-08
1.148,0,4.42789e-08,-3.48269e-08
1.15,0,5.32668e-08,-3.5157e-08
1.152,0,1.51656e-09,-2.99412e-08
1.154,0,-4.42845e-08,-3.48296e-08
1.156,0,-5.32721e-08,-3.51594e-08
1.158,0,-1.51656e-09,-2.99409e-08
1.16,0,4.42804e-08,-3.48269e-08
1.162,0,5.32682e-08,-3.5157e-08
1.164,0,1.51656e-09,-2.99412e-08
1.166,0,-4.42834e-08,-3.48296e-08
1.168,0,-5.32711e-08,-3.51594e-08
1.17,0,-1.51656e-09,-2.99409e-08
1.172,0,4.42812e-08,-3.48269e-08
1.174,0,5.3269e-08,-3.5157e-08
1.176,0,1.51656e-09,-2.99412e-08
1.178,0,-4.42828e-08,-3.48296e-08
1.18,0,-5.32705e-08,-3.51594e-08
1.184,0,4.42816e-08,-3.48269e-08
1.186,0,5.32694e-08,-3.5157e-08
1.188,0,1.51656e-09,-2.99412e-08
